datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
822235,2251,3,15,15-Mar-2251 00:00:00,1516.15638996526,1519.54895403001,1512.7638259005
822266,2251,4,15,15-Apr-2251 00:00:00,1515.48737997385,1518.48531634055,1512.48944360715
822296,2251,5,15,15-May-2251 00:00:00,1513.72090239637,1515.07393047381,1512.36787431894
822327,2251,6,15,15-Jun-2251 00:00:00,1510.71879503378,1508.83751122509,1512.60007884247
822357,2251,7,15,15-Jul-2251 00:00:00,1508.4742186287,1503.73392409008,1513.21451316733
822388,2251,8,15,15-Aug-2251 00:00:00,1508.23027857928,1503.0122671588,1513.44828999976
822419,2251,9,15,15-Sep-2251 00:00:00,1509.44326987736,1505.5135773897,1513.37296236503
822449,2251,10,15,15-Oct-2251 00:00:00,1512.0101672497,1510.51354106475,1513.50679343464
822480,2251,11,15,15-Nov-2251 00:00:00,1514.17035982696,1515.06191150288,1513.27880815105
822510,2251,12,15,15-Dec-2251 00:00:00,1515.29338438123,1517.69585828058,1512.89091048187
822541,2252,1,15,15-Jan-2252 00:00:00,1516.06264185939,1519.00620072363,1513.11908299516
822572,2252,2,15,15-Feb-2252 00:00:00,1515.99772640575,1519.28346206989,1512.7119907416
822601,2252,3,15,15-Mar-2252 00:00:00,1515.55631670309,1518.94864708345,1512.16398632272
822632,2252,4,15,15-Apr-2252 00:00:00,1514.88603745319,1517.88381626052,1511.88825864586
822662,2252,5,15,15-May-2252 00:00:00,1513.118841879,1514.47188811829,1511.76579563971
822693,2252,6,15,15-Jun-2252 00:00:00,1510.11655841612,1508.23556151717,1511.99755531507
822723,2252,7,15,15-Jul-2252 00:00:00,1507.87211645498,1503.13224136101,1512.61199154896
822754,2252,8,15,15-Aug-2252 00:00:00,1507.6285691835,1502.41086807359,1512.8462702934
822785,2252,9,15,15-Sep-2252 00:00:00,1508.84236564431,1504.91285706783,1512.77187422079
822815,2252,10,15,15-Oct-2252 00:00:00,1511.41035743022,1509.91376720065,1512.90694765979
822846,2252,11,15,15-Nov-2252 00:00:00,1513.57192066033,1514.46334261852,1512.68049870215
822876,2252,12,15,15-Dec-2252 00:00:00,1514.6965447865,1517.09878868972,1512.29430088329
822907,2253,1,15,15-Jan-2253 00:00:00,1515.46747442837,1518.41077179127,1512.52417706548
822938,2253,2,15,15-Feb-2253 00:00:00,1515.40432028859,1518.68978721933,1512.11885335785
822966,2253,3,15,15-Mar-2253 00:00:00,1514.96461767085,1518.35670207387,1511.57253326784
822997,2253,4,15,15-Apr-2253 00:00:00,1514.29588498433,1517.2934979439,1511.29827202476
823027,2253,5,15,15-May-2253 00:00:00,1512.53007050417,1513.88313586071,1511.17700514763
823058,2253,6,15,15-Jun-2253 00:00:00,1509.52889412011,1507.64819922377,1511.40958901644
823088,2253,7,15,15-Jul-2253 00:00:00,1507.28494377573,1502.54551019128,1512.02437736018
823119,2253,8,15,15-Aug-2253 00:00:00,1507.04119842932,1501.82382395386,1512.25857290477
823150,2253,9,15,15-Sep-2253 00:00:00,1508.25439965105,1504.32508466039,1512.18371464172
823180,2253,10,15,15-Oct-2253 00:00:00,1510.82141688298,1509.32486450021,1512.31796926574
823211,2253,11,15,15-Nov-2253 00:00:00,1512.98176000882,1513.87304542548,1512.09047459216
823241,2253,12,15,15-Dec-2253 00:00:00,1514.10501613155,1516.50701793969,1511.70301432342
823272,2254,1,15,15-Jan-2254 00:00:00,1514.87442759372,1517.81746251281,1511.93139267462
823303,2254,2,15,15-Feb-2254 00:00:00,1514.80973816106,1518.09493538987,1511.52454093224
823331,2254,3,15,15-Mar-2254 00:00:00,1514.36849477131,1517.76033231045,1510.97665723216
823362,2254,4,15,15-Apr-2254 00:00:00,1513.69825258891,1516.69569910299,1510.70080607483
823392,2254,5,15,15-May-2254 00:00:00,1511.93109835442,1513.28418289712,1510.57801381173
823423,2254,6,15,15-Jun-2254 00:00:00,1508.9287864515,1507.04839464621,1510.80917825679
823453,2254,7,15,15-Jul-2254 00:00:00,1506.68370517456,1501.94471469084,1511.42269565828
823484,2254,8,15,15-Aug-2254 00:00:00,1506.43883919433,1501.22179253053,1511.65588585814
823515,2254,9,15,15-Sep-2254 00:00:00,1507.65116885228,1503.72204814513,1511.58028955944
823545,2254,10,15,15-Oct-2254 00:00:00,1510.21750881491,1508.72099441534,1511.71402321447
823576,2254,11,15,15-Nov-2254 00:00:00,1512.37743052359,1513.26857890662,1511.48628214056
823606,2254,12,15,15-Dec-2254 00:00:00,1513.50054639529,1515.90230523583,1511.09878755475
823637,2255,1,15,15-Jan-2255 00:00:00,1514.27002096936,1517.2127900518,1511.32725188692
823668,2255,2,15,15-Feb-2255 00:00:00,1514.20566494298,1517.49058898318,1510.92074090278
823696,2255,3,15,15-Mar-2255 00:00:00,1513.76496135819,1517.15654884203,1510.37337387435
823727,2255,4,15,15-Apr-2255 00:00:00,1513.09542935298,1516.09270726977,1510.09815143618
823757,2255,5,15,15-May-2255 00:00:00,1511.32922266649,1512.68232664337,1509.97611868961
823788,2255,6,15,15-Jun-2255 00:00:00,1508.3280573653,1506.44797256939,1510.2081421612
823818,2255,7,15,15-Jul-2255 00:00:00,1506.0840463215,1501.3455046669,1510.82258797611
823849,2255,8,15,15-Aug-2255 00:00:00,1505.84012328467,1500.62340867044,1511.05683789889
823880,2255,9,15,15-Sep-2255 00:00:00,1507.05348729522,1503.12456338326,1510.98241120718
823910,2255,10,15,15-Oct-2255 00:00:00,1509.6208776581,1508.12440173278,1511.11735358341
823941,2255,11,15,15-Nov-2255 00:00:00,1511.78190829015,1512.672917868,1510.89089871231
823971,2255,12,15,15-Dec-2255 00:00:00,1512.90619737164,1515.30771010351,1510.50468463976
824002,2256,1,15,15-Jan-2256 00:00:00,1513.67680906243,1516.61930740742,1510.73431071744
824033,2256,2,15,15-Feb-2256 00:00:00,1513.61360561496,1516.89825143021,1510.32895979971
824062,2256,3,15,15-Mar-2256 00:00:00,1513.1739837468,1516.56531656548,1509.78265092812
824093,2256,4,15,15-Apr-2256 00:00:00,1512.50540609114,1515.50251230251,1509.50829987978
824123,2256,5,15,15-May-2256 00:00:00,1510.74007480661,1512.09319857596,1509.38695103726
824154,2256,6,15,15-Jun-2256 00:00:00,1507.73964712213,1505.85987499544,1509.61941924881
824184,2256,7,15,15-Jul-2256 00:00:00,1505.4959355942,1500.75785104303,1510.23402014537
824215,2256,8,15,15-Aug-2256 00:00:00,1505.25181306751,1500.03543662432,1510.4681895107
824246,2256,9,15,15-Sep-2256 00:00:00,1506.46474114958,1502.5360176608,1510.39346463835
824276,2256,10,15,15-Oct-2256 00:00:00,1509.03143601355,1507.53499927177,1510.52787275533
824307,2256,11,15,15-Nov-2256 00:00:00,1511.19160845664,1512.08247667038,1510.30074024291
824337,2256,12,15,15-Dec-2256 00:00:00,1512.31493615051,1514.71619823662,1509.91367406441
824368,2257,1,15,15-Jan-2257 00:00:00,1513.08443373442,1516.02665556153,1510.1422119073
824399,2257,2,15,15-Feb-2257 00:00:00,1513.02007154871,1516.30443319873,1509.73570989869
