datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
407481.5,1115,8,24,24-Aug-1115 12:00:00,280.958953857422,278.584899902344,283.3330078125
407512,1115,9,24,24-Sep-1115 00:00:00,280.918853759766,278.682434082031,283.155303955078
407542.5,1115,10,24,24-Oct-1115 12:00:00,281.955169677734,280.791046142578,283.119293212891
407573,1115,11,24,24-Nov-1115 00:00:00,282.958892822266,282.669464111328,283.248321533203
407603.5,1115,12,24,24-Dec-1115 12:00:00,283.595062255859,283.911254882812,283.278869628906
407634.5,1116,1,24,24-Jan-1116 12:00:00,284.05419921875,284.733428955078,283.375
407664.5,1116,2,23,23-Feb-1116 12:00:00,284.435821533203,285.388153076172,283.483459472656
407694.5,1116,3,24,24-Mar-1116 12:00:00,284.776275634766,286.029235839844,283.523345947266
407725,1116,4,24,24-Apr-1116 00:00:00,285.015502929688,286.5625,283.468505859375
407755.5,1116,5,24,24-May-1116 12:00:00,284.958526611328,286.465576171875,283.451477050781
407786,1116,6,24,24-Jun-1116 00:00:00,284.225646972656,284.951049804688,283.500244140625
407816.5,1116,7,24,24-Jul-1116 12:00:00,282.585784912109,281.669708251953,283.501892089844
407847.5,1116,8,24,24-Aug-1116 12:00:00,280.983062744141,278.609008789062,283.357116699219
407878,1116,9,24,24-Sep-1116 00:00:00,280.943084716797,278.706634521484,283.179504394531
407908.5,1116,10,24,24-Oct-1116 12:00:00,281.979461669922,280.815368652344,283.143585205078
407939,1116,11,24,24-Nov-1116 00:00:00,282.983215332031,282.693786621094,283.272644042969
407969.5,1116,12,24,24-Dec-1116 12:00:00,283.619354248047,283.935516357422,283.303161621094
408000.5,1117,1,24,24-Jan-1117 12:00:00,284.078369140625,284.757568359375,283.399139404297
408030,1117,2,23,23-Feb-1117 00:00:00,284.459716796875,285.412078857422,283.507385253906
408059.5,1117,3,24,24-Mar-1117 12:00:00,284.799835205078,286.052795410156,283.546905517578
408090,1117,4,24,24-Apr-1117 00:00:00,285.03857421875,286.585540771484,283.491577148438
408120.5,1117,5,24,24-May-1117 12:00:00,284.98095703125,286.488006591797,283.473907470703
408151,1117,6,24,24-Jun-1117 00:00:00,284.247314453125,284.972717285156,283.521911621094
408181.5,1117,7,24,24-Jul-1117 12:00:00,282.606658935547,281.690551757812,283.522766113281
408212.5,1117,8,24,24-Aug-1117 12:00:00,281.003082275391,278.629058837891,283.377136230469
408243,1117,9,24,24-Sep-1117 00:00:00,280.962280273438,278.725830078125,283.198699951172
408273.5,1117,10,24,24-Oct-1117 12:00:00,281.997863769531,280.833740234375,283.161987304688
408304,1117,11,24,24-Nov-1117 00:00:00,283.000915527344,282.711486816406,283.290344238281
408334.5,1117,12,24,24-Dec-1117 12:00:00,283.636444091797,283.952606201172,283.320251464844
408365.5,1118,1,24,24-Jan-1118 12:00:00,284.095001220703,284.774200439453,283.415771484375
408395,1118,2,23,23-Feb-1118 00:00:00,284.476104736328,285.428436279297,283.523742675781
408424.5,1118,3,24,24-Mar-1118 12:00:00,284.816162109375,286.069091796875,283.563201904297
408455,1118,4,24,24-Apr-1118 00:00:00,285.055084228516,286.60205078125,283.508087158203
408485.5,1118,5,24,24-May-1118 12:00:00,284.997924804688,286.504974365234,283.490875244141
408516,1118,6,24,24-Jun-1118 00:00:00,284.264953613281,284.990356445312,283.53955078125
408546.5,1118,7,24,24-Jul-1118 12:00:00,282.625183105469,281.709075927734,283.541259765625
408577.5,1118,8,24,24-Aug-1118 12:00:00,281.022613525391,278.648559570312,283.396667480469
408608,1118,9,24,24-Sep-1118 00:00:00,280.982879638672,278.746459960938,283.219329833984
408638.5,1118,10,24,24-Oct-1118 12:00:00,282.019653320312,280.855529785156,283.183776855469
408669,1118,11,24,24-Nov-1118 00:00:00,283.023895263672,282.734466552734,283.313323974609
408699.5,1118,12,24,24-Dec-1118 12:00:00,283.660583496094,283.976776123047,283.344390869141
408730.5,1119,1,24,24-Jan-1119 12:00:00,284.120269775391,284.799468994141,283.441040039062
408760,1119,2,23,23-Feb-1119 00:00:00,284.502380371094,285.454711914062,283.550048828125
